ผู้บาดเจ็บ|เสียชีวิต|เทศกาล
ราคากลาง|ยา|แผนปัจจุบัน
ข้อมูลหน่วยงานบริการสุขภาพ|กรุงเทพมหานคร
ข้อมูลด้านการป้องกัน|บรรเทาสาธารณภัย|องค์กรปกครองส่วนท้องถิ่น
ข้อมูลหน่วยงานบริการสุขภาพ|จังหวัดภูเก็ต
จำนวนพาหนะปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
จำนวนหน่วยปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
จำนวนผู้ปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
จำนวนชุดปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
จำนวนผู้ปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
จำนวนชุดปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
รายงานที่ตั้งศูนย์รับแจ้งเหตุ|สั่งการ|จังหวัด
รายงานที่ตั้งงานการแพทย์ฉุกเฉิน|จังหวัด
จำนวนหน่วยปฏิบัติการฉุกเฉิน|ขึ้นทะเบียน|ระบบการแพทย์ฉุกเฉิน
